id,name,google_place_id,address,latitude,longitude,independent,coffee_quality,seating,quiet,outdoor_seating,laptop_friendly,meeting_suitability,google_rating,google_review_count
kennington_lane_cafe,Kennington Lane Cafe,ChIJl381_ewEdkgRICMBqcXSYR4,"383 Kennington Ln, London SE11 5QY, UK",51.4860873,-0.12106179999999998,TRUE,,,,TRUE,,,4.9,12153
the_kennington_coffee_shop,The Kennington Coffee Shop,ChIJEy12DpYEdkgRxvdWThg4vLg,"3, Wincott Parade, 173 Kennington Rd, London SE11 6SR, UK",51.4928871,-0.110625,TRUE,,,,TRUE,,,4.8,212
perks_and_white_coffee_herne_hill_station,"Perks & White coffee, Herne Hill Station",ChIJYZdOSd8FdkgRhaN1Xb1louI,"Herne Hill, Station Ticket Hall, Railton Rd, London SE24 0JW, UK",51.4530992,-0.1022043,TRUE,,,,TRUE,,,4.6,187
annapurna_cafe,Annapurna Cafe,ChIJVUQdj-4FdkgRgAqFLhrRIcg,"39a Loughborough Rd, London SW9 7TB, UK",51.4708906,-0.1085863,TRUE,,,,TRUE,,,4.8,211
martil_cafe_west_norwood,Martil Cafe West Norwood,ChIJYcigusYFdkgRYJemIMViO6E,"280 Norwood Rd, Norwood, London SE27 9AJ, UK",51.436616199999996,-0.1050657,TRUE,,,,TRUE,,,4.9,533
cayena_coffee_roasters,Cayena Coffee Roasters,ChIJo5F4WEQEdkgRPr7NR2U_-6A,"144 Acre Ln, London SW2 5UT, UK",51.459768,-0.1251279,TRUE,,,,,,,5,22
sipp,Sipp,ChIJD-LpOM8FdkgRTzpwI0NGgvc,"Ground Floor, 86 Stockwell Rd, London SW9 9JQ, UK",51.4690035,-0.1196521,TRUE,,,,,,,5,39
beam,Beam,ChIJ5VxITD8RdkgRgmJIm8bKt3s,"103 Westbourne Grove, London W2 4UW, UK",51.5151426,-0.1933383,TRUE,,,,TRUE,,,4.8,4653
devotion_coffee_angel,Devotion Coffee Angel,ChIJOYUKMK0bdkgRnGyQQRgWg40,"2 Cross St, London N1 2BL, UK",51.538835,-0.0990245,TRUE,,,,TRUE,,,4.7,254
the_roasting_shed,The Roasting Shed,ChIJGQmwz2wddkgRxvEEfSjq2lo,"322 Hornsey Rd, Finsbury Park, London N7 7HE, UK",51.563053,-0.11779859999999999,TRUE,,,,TRUE,,,4.8,228
pophams_islington,Pophams Islington,ChIJ6ah3ZWAbdkgRnIohEE0UryM,"19 Prebend St, London N1 8PF, UK",51.53685,-0.09644459999999999,TRUE,,,,,,,4.6,1608
positive_charge_coffee,Positive Charge Coffee,ChIJDfWl2xobdkgRFMQ48iTrqiQ,"346 Caledonian Rd, London N1 1DU, UK",51.5409599,-0.1168059,TRUE,,,,TRUE,,,5,27
selv_roastery,SELV Roastery,ChIJn_kerwEbdkgRXifq_jAYCTY,"116 Upper St, London N1 1AP, UK",51.5383601,-0.1025142,TRUE,,,,TRUE,,,4.8,83
toconoco,Toconoco,ChIJSbA7WZYcdkgRM8xb-cWQMt8,"Unit A, 28 Hertford Rd, London N1 5QT, UK",51.5383498,-0.0783027,TRUE,,,,TRUE,,,4.5,703
southpaw_coffee,Southpaw Coffee,ChIJ80UjfCsbdkgRT0afJT24-Xk,"2 Roman Way, London N7 8XG, UK",51.5435672,-0.1132875,TRUE,,,,FALSE,,,4.7,326
first_light_coffee_co,First Light Coffee Co.,ChIJNSfxyeMPdkgRde7kZmNjvFs,"191A Uxbridge Rd, London W12 9RA, UK",51.5063148,-0.23851689999999995,TRUE,,,,TRUE,,,4.9,64
gramos_coffee_bar,Gramos Coffee Bar,ChIJ19Ng64QadkgRTmQRF8BYrFg,"Located inside King's Cross Underground Station, Ticket Hall Level Regents Canal exit, (below Harry Potter shop, London N1 9AL, UK",51.5318391,-0.1243704,TRUE,,,,FALSE,,,4.9,597
news_and_coffee,News & Coffee,ChIJT4xvAwAbdkgRnRQYDxcYlmA,"News & Coffee Kiosk, Granary Square, London N1C 4PQ, UK",51.5351478,-0.12562270000000003,TRUE,,,,,,,4.7,51
ink_84_books,Ink@84 Books,ChIJ-w223oEbdkgRl4UmWsp1cK4,"84 Highbury Park, London N5 2XE, UK",51.5573203,-0.0979403,TRUE,,,,,,,4.9,155
pedlar_coffee,Pedlar Coffee,ChIJE-CmjowFdkgRU88P_qnh_mc,"20 Lower Marsh, London SE1 7RJ, UK",51.5006409,-0.11295540000000001,TRUE,,,,TRUE,,,4.4,325
buna_brew,Buna Brew,ChIJo_6PgTsbdkgRokHvCWOsAFI,"125 Castlehaven Rd, London NW1 8SJ, UK",51.5464254,-0.1440743,TRUE,,,,TRUE,,,5,133
